x,n_regions_at_least,fitted_n_regions_at_least,reference_n_regions_at_least,in_fit,r_database,k,lambda_analytic,match_probability,null,reference,mismatch_penalty,xdrop,n_queries,query_residues,database_kmers,bin_width
1.500,13639334,1272755469.072,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
2.000,13639326,757376759.619,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
2.500,13639249,450691094.991,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
3.000,13638884,268192099.274,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
3.500,13637290,159592685.351,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
4.000,13628400,94968588.882,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
4.500,13574007,56512821.089,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
5.000,13208994,33629002.863,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
5.500,10877133,20011562.186,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
6.000,7322311,11908251.421,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
6.500,4796692,7086225.982,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
7.000,3096733,4216790.266,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
7.500,1972951,2509279.296,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
8.000,1243104,1493193.208,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
8.500,776600,888552.327,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
9.000,480551,528749.550,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
9.500,294777,314642.232,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
10.000,179972,187233.699,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
10.500,109139,111416.887,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
11.000,66117,66300.686,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
11.500,39913,39453.453,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
12.000,23968,23477.510,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
12.500,14409,13970.728,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
13.000,8527,8313.541,,false,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
13.500,5001,4947.127,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
14.000,2966,2943.880,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
14.500,1721,1751.810,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
15.000,1013,1042.447,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
15.500,608,620.328,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
16.000,372,369.137,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
16.500,233,219.662,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
17.000,131,130.714,,true,1.038157318497847,0.06405134864041395,0.4562062345668446,0.508656840843856,shuffled-dipeptide,,2,8,200,37275,2529869,0.5
